dictionary
read
ㄱ
ㄴ
ㄷ
ㄹ
ㅁ
ㅂ
ㅣ
가
가가
가가와
가가와현
가가호호
가각
가감
가갸
가거
가건물
가검물
가게
가격
가격기구
가격대
가격표
가결
가경
가경동
가경자
가경터미널
가계
가계도
가계부
가계비
가계약
가고시마
가고시마현
가곡
가곡리
가곡면
가공
가공법
가공업
가공유
가공품
가관
가교
가구
가구원
가구재
가구점
가구주
가권
가금
가금사
가급
가급적
가기
가까이
가나
가나가와
가나가와현
가나다
가나다순
가나안
가난
가난뱅이
가남
가내
가네
가넷
가논
가늠
가늠자
가능
가니
가다
가다랑어
가닥
가단
가단조
가담
가담자
가대
가덕
가덕도
가덕산
가도
가독
가독성
가돗
가동
가동율
가두
가두리
가드
가드너
가드레일
가든
가디
가디건
가디스
가디언
가라
가라오케
가라치
가라타니
가라테
가락
가락동
가락시장
가란
가람
가람고
가람동
가랑
가랑비
가래
가래나무
가래떡
가량
가레스
가려
가려움
가려움증
가련
가령
가례
가로
가로등
가로림
가로림만
가로변
가로세로
가로수
가로수길
가로쓰
가로쓰기
가루
가루다
가르
가르마
가르시니
가르시아
가르신
가르침
가름
가리
가리개
가리봉
가리봉동
가리산
가리온
가리왕
가리왕산
가림
가림막
가림성
가마
가마니
가마산
가마산로
가마솥
가마솥더위
가마우지
가마타
가마터
가망
가맹
가맹국
가맹단체
가맹점
가면
가면극
가명
가모
가목
가묘
가문
가문비
가뭄
가미
가미카제
가민
가바
가바나
가반
가발
가방
가배
가버
가벌
가법
가베
가벽
가변
가보
가본
가봉
가부
가부장
가부장제
가북
가북면
가분
가불
가불금
가브리
가브리엘
가브리엘손
가비
가비아
가비지
가빈
가사
가사리
가사일
가산
가산금
가산동
가산리
가산세
가산점
가살
가삼현
가상
가상사
가상현실
가석방
가선
가설
가섭
가성
가세
가세로
가소
가소제
가속
가속기
가속도
가솔린
가수
가수금
가수요
가수원
가순
가스
가스가노
가스공사
가스관
가스레인지
가스미
가스버너
가스보일러
가스사
가스안전공사
가스연맹
가스전
가스총
가스켓
가스터
가스통
가스트
가스파르
가스페리
가스펠
가슴
가슴뼈
가슴살
가슴앓이
가슴팍
가습
가습기
가시
가시거리
가시광선
가시나
가시나무
가시마
가시박
가시방석
가시밭
가시밭길
가시벌레
가시성
가시엉겅퀴
가시연
가식
가심
가십
가쓰노부
가쓰라
가압
가압류
가액
가야
가야고
가야금
가야면
가야산
가야읍
가야지
가약
가양
가양대교
가양동
가양주
가업
가역
가연
가연물
가연성
가열
가영
가오
가오리
가오리연
가오청
가오펑
가옥
가온
가와고에
가와무라
가와사키
가왕
가요
가요계
가요무대
가요제
가용
가용성
가우
가우디
가운
가운데
가운뎃
가운뎃손가락
가원
가원리
가위
가위바위보
가위질
가은
가은역
가을
가을꽃
가을맞이
가을배추
가을볕
가을비
가을장마
가을철
가음
가음동
가음면
가음정
가음정동
가의
가의도
가이
가이다
가이던스
가이드
가이드라인
가이드북
가이아
가이즈
가인
가일
가일리
가임
가입
가입비
가입식
가입자
가자
가자니아
가자마다
가자미
가자지구
가작
가잔
가장
가장자리
가재
가재도구
가재발
가전
가전제품
가점
가정
가정동
가정배달
가정법
가정법률상담소
가정부
가정불화
가정사
가정생활
가정용
가정용품
가정의
가정주부
가정집
가정폭력
가제
가제타
가젤
가조
가족
가족력
가족묘
가족사
가족주의
가좌
가좌동
가죽
가죽나무
가중
가중값
가중치
가즈오
가즈토
가즈히코
가지
가지가지
가지과
가지급금
가지치기
가짐
가짓
가짓수
가짜
가차
가창
가창력
가창면
가창오리
가채
가채점
가책
가처분
가천
가촌
가축
가출
가출소
가치
가치관
가치세
가치주
가칭
가쿠
가쿠인
가타
가타부타
가타오카
가탑
가탑리
가택
가터
가토
가톨릭
가톨릭교
가톨릭교도
가톨릭교회
가톨릭대병원
가톨릭병원
가트너
가파
가파리
가판
가판대
가평
가평군
가평읍
가포
가포동
가품
가프니
가피
가학
가학동
가한
가합
가해
가해자
가향
가현
가현리
가형
가혹
가화
가환
가회
가회동
가흥
가희
각
각각
각개
각계
각계각층
각고
각광
각국
각궁
각급
각도
각동
각론
각료
각류
각리
각막
각막염
각목
각별
각본
각본가
각본상
각부
각사
각색
각색상
각서
각석
각선
각선미
각설
각설탕
각성
각성제
각승
각시
각양
각양각색
각오
각의
각이
각인
각자
각자도생
각존
각종
각주
각지
각질
각질층
각천
각축
각축장
각축전
각층
각판
각하
각형
각화
각화동
각회
간
간거리
간격
간경
간경리
간경변
간경변증
간고
간고등어
간과
간교
간구
간극
간기
간기능
간나
간난
간내
간담
간담회
간당
간대
간도
간독
간동
간동맥
간동면
간두
간디
간디스토마
간만
간명
간무협
간문
간문맥
간발
간밤
간병
간병인
간부
간부급
간부진
간부회
간빙
간빙기
간사
간사이
간사인
간사장
간상
간상세포
간서
간석
간석동
간석지
간선
간선도로
간선버스
간선제
간섭
간성
간성읍
간세포
간송
간수
간식
간식거리
간쑤성
간암
간언
간여
간염
간엽
간월
간월산
간유리
간음
간음죄
간이
간이식
간이식당
간이역
간이침대
간자
간장
간저
간저우
간전
간절곶
간접
간접비
간접흡연
간주
간증
간지
간지럼
간직
간질
간짜장
간찰
간척
간척지
간첩
간첩사건
간청
간출
간출암
간츠
간토
간통
간파
간판
간판스타
간판타자
간평
간행
간행물
간헐
간현
간협
간호
간호법
간호부
간호사
간호섭
간호인
간호장교
간호조무사
간호학
간혹
간화
간화선
간흡충
간힘
갈
갈개
갈고
갈고둥
갈고리
갈곡
갈곡리
갈곶
갈구
갈급
갈기
갈대
갈대숲
갈두산
갈등
갈라
갈라파고스
갈래
갈런드
갈레
갈레노스
갈령
갈로
갈론
갈륨
갈리
갈리아
갈릭
갈릴레오
갈릴리
갈림
갈림길
갈마
갈마곡
갈마곡리
갈마동
갈말
갈말읍
갈망
갈매
갈매기
갈매나무
갈매동
갈매역
갈무리
갈물
갈변
갈보리
갈비
갈비구이
갈비뼈
갈비스
갈비찜
갈비탕
갈산
갈산동
갈산면
갈색
갈소원
갈숲
갈운
갈월
갈월동
갈음
갈이
갈재
갈전
갈전리
갈증
갈채
갈천
갈취
갈치
갈치조림
갈퀴
갈피
갈현
갈현동
감
감가
감가상각
감각
감감
감감무소식
감개
감개무량
감격
감경
감고
감곡
감곡면
감광
감광액
감귤
감귤류
감금
감금죄
감기
감꽃
감나무
감내
감농
감당
감도
감독
감독관
감독관청
감독권자
감독상
감독안
감독원
감독자
감독청
감돈
감동
감량
감로
감로수
감류
감리
감리교
감리사
감리서
감리회
감마
감만
감면
감면세
감명
감물
감물면
감미
감미료
감바
감방
감배
감법
감별
감복
감봉
감부
감북
감비아
감사
감사관
감사원
감사원장
감사자
감사장
감사절
감사제
감사패
감산
감삼
감삼동
감삼역
감상
감상문
감생
감성
감성돔
감세
감소
감소분
감소세
감속
감속기
감속비
감수
감수성
감시
감시단
감시대
감시망
감시병
감시선
감시원
감시인
감시자
감식
감식소
감신
감실
감안
감액
감역
감염
감염병
감염원
감염자
감염증
감영
감옥
감옥서
감옥행
감우
감우성
감원
감위
감응
감익
감입
감자
감자떡
감자밭
감자조림
감자칩
감자튀김
감작
감전
감전사
감점
감정
감정가
감정료
감정사
감정서
감정선
감정싸움
감정업
감정평가
감조
감주
감지
감지기
감차
감찰
감찰관
감찰부
감천
감천면
감청
감초
감축
감칠
감칠맛
감탄
감탄사
감태
감태나무
감퇴
감투
감포
감포읍
감포항
감행
감형
감호
감홍
감화
감화력
감회
감흥
갑
갑각
갑각류
갑과
갑년
갑당
갑동
갑론을박
갑문
갑부
갑사
갑상
갑상선
갑상선암
갑수
갑술
갑신
갑오
갑오징어
갑옷
갑인
갑자
갑자사화
갑작
갑절
갑제
갑제동
갑종
갑주
갑진
갑천
갑천대교
갑태
갑판
갑호
값
값어치
갓
갓갓
갓길
갓김치
갓끈
갓난
갓난아기
갓난아이
갓프리
강
강가
강간
강간범
강간죄
강감찬
강갑생
강강
강강술래
강건
강건우
강경
강경구
강경국
강경남
강경래
강경선
강경수
강경역
강경읍
강경주
강경책
강경천
강경초
강경태
강경파
강경포구
강경화
강경환
강경훈
강계
강계웅
강골
강과
강관
강광
강광원
강교
강구
강구열
